Course Name,Course URI
Freeze-Etching In Electron Microscopy 1980,http://history.archives.mbl.edu/concepts/course/e566b4ac-bbb4-4eed-9539-0e402ed40af2
Neuroinformatics 2009,http://history.archives.mbl.edu/concepts/course/b7f1f072-6782-4fdc-977e-97834293f2bb
Neuroinformatics 2008,http://history.archives.mbl.edu/concepts/course/e23a3b7a-b1ce-4b05-8cc7-a5f540c556c9
Embryology 1894,http://history.archives.mbl.edu/concepts/course/de4fecc1-abf9-4371-a34f-4aa8a92def79
Embryology 1895,http://history.archives.mbl.edu/concepts/course/43e0f60e-9a6a-4b78-bc5d-9b5adb8452d9
Embryology 1896,http://history.archives.mbl.edu/concepts/course/eb241a9e-50a4-434b-91bb-0f0372738d47
Embryology 1897,http://history.archives.mbl.edu/concepts/course/509e1a4a-14e4-4785-bed3-68beaac9c068
Embryology 1959,http://history.archives.mbl.edu/concepts/course/e46d0cad-de7e-423a-b504-507426434320
Embryology 1958,http://history.archives.mbl.edu/concepts/course/bf7b63d5-3f69-49bf-a53a-7c41c7cf8832
Embryology 1892,http://history.archives.mbl.edu/concepts/course/e34d9d42-8503-4812-a2d5-3a5be737ff13
Embryology 1893,http://history.archives.mbl.edu/concepts/course/d8998189-d70e-449c-8cd2-0d45999e3a25
Embryology 1955,http://history.archives.mbl.edu/concepts/course/abec16e7-37f8-4104-8baa-0b8085b433e0
Embryology 1954,http://history.archives.mbl.edu/concepts/course/fae7d562-ad17-477c-aa66-1eb58a1d0ace
Embryology 1957,http://history.archives.mbl.edu/concepts/course/234f389f-7fb3-441b-bb1d-9c7d5e34e3ec
Embryology 1956,http://history.archives.mbl.edu/concepts/course/a9b4ae4f-cc84-4caa-bb8a-a849faa779d9
Embryology 1951,http://history.archives.mbl.edu/concepts/course/aecccbb2-2d35-4973-a229-58cee5a831a2
Embryology 1950,http://history.archives.mbl.edu/concepts/course/9dac196b-80bb-4f8e-bcd9-6ff07d76c9bc
Embryology 1953,http://history.archives.mbl.edu/concepts/course/1375d701-73e6-44c5-9053-e8ed044df4ec
Embryology 1952,http://history.archives.mbl.edu/concepts/course/9d6704af-1eef-4dbf-a166-34506ddb0f5b
Biomedical Informatics Ii 2005,http://history.archives.mbl.edu/concepts/course/03af1075-7e22-4523-8a94-eef5caa3548b
Nasa Planetary Biology Internship Program 2003,http://history.archives.mbl.edu/concepts/course/f8dfe4c6-72c5-476f-99f4-a0d8bc97b87b
Three Afternoons Toward Better Scientific Writing 1982,http://history.archives.mbl.edu/concepts/course/81fab246-2de9-478e-a774-58466ca596a7
Measurement And Control Of Chemical Stimuli 1990,http://history.archives.mbl.edu/concepts/course/2c666ace-fa7d-492b-aeed-eda77a42c209
"Summer Program In Neuroscience, Ethics And Survival 2006",http://history.archives.mbl.edu/concepts/course/8232f5a1-4183-43c0-8b5a-dad29818d63d
History Of Biology: Modern Evolutionary Biology 1991,http://history.archives.mbl.edu/concepts/course/1c73c534-d2a7-4083-a190-15179848ddb4
Zebrafish Development And Genetics 2009,http://history.archives.mbl.edu/concepts/course/48c6963e-e110-48ce-b602-1f94aa4d1b31
Basic Ecology And Management Of Resources 1981,http://history.archives.mbl.edu/concepts/course/37c05062-bd08-4dde-8b63-301ed5f077b0
Marine Ecology 1973,http://history.archives.mbl.edu/concepts/course/af7e33c7-955c-4126-87b7-84d7a887c900
"Summer Program In Neuroscience, Ethics And Survival 2005",http://history.archives.mbl.edu/concepts/course/8f7bcfb8-8f06-41e3-b98c-8e55b774b3d4
